what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1260317399724
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1260317399725
stopped,bundle,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui",1260317399727
stopped,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1260317399727
stopped,bundle,org.eclipse.tptp.platform.welcome,4.5.2.v200901090100,"org.eclipse.tptp.platform.welcome",1260317399728
stopped,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1260317399735
stopped,bundle,org.eclipse.ui.intro,3.3.1.v20090805_35x,"org.eclipse.ui.intro",1260317399736
stopped,bundle,org.eclipse.help.base,3.4.0.v200909170800,"org.eclipse.help.base",1260317399737
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1260317399742
stopped,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1260317399742
stopped,bundle,org.eclipse.tptp.trace.jvmti.client,4.4.301.v200908220100,"org.eclipse.tptp.trace.jvmti.client",1260317399743
stopped,bundle,org.eclipse.hyades.trace.views,4.1.601.v200908290100,"org.eclipse.hyades.trace.views",1260317399743
stopped,bundle,org.eclipse.tptp.monitoring.managedagent,4.4.200.v200906091631,"org.eclipse.tptp.monitoring.managedagent",1260317399764
stopped,bundle,org.eclipse.tptp.platform.probekit.launch,4.4.200.v200901090100,"org.eclipse.tptp.platform.probekit.launch",1260317399765
stopped,bundle,org.eclipse.tptp.platform.report.birt.ui,4.4.200.v200905160100,"org.eclipse.tptp.platform.report.birt.ui",1260317399766
stopped,bundle,org.eclipse.hyades.trace.ui,4.5.1.v200908290100,"org.eclipse.hyades.trace.ui",1260317399768
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.ide.ant",1260317399769
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1260317399770
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.java.tasks",1260317399790
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.java.ui",1260317399791
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1260317399792
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1260317399793
stopped,bundle,org.eclipse.hyades.probekit.ui,4.1.500.v200905160100,"org.eclipse.hyades.probekit.ui",1260317399794
stopped,bundle,org.eclipse.hyades.trace.sample,4.1.400.v200901090100,"org.eclipse.hyades.trace.sample",1260317399795
stopped,bundle,org.eclipse.tptp.monitoring.examples,4.5.1.v200901090956,"org.eclipse.tptp.monitoring.examples",1260317399796
